  step   n       handback           self         costar       invented
   200  12   4.67 +- 0.36   0.58 +- 0.26   1.58 +- 0.29   0.67 +- 0.22
   279  12   3.92 +- 0.31   0.75 +- 0.22   2.00 +- 0.30   1.17 +- 0.24
   360  12   4.00 +- 0.30   1.17 +- 0.21   2.17 +- 0.41   0.67 +- 0.26
   400  12   3.50 +- 0.34   0.50 +- 0.19   2.58 +- 0.42   1.58 +- 0.40
   481  12   5.00 +- 0.33   0.33 +- 0.14   2.00 +- 0.17   0.92 +- 0.34
   562  12   4.67 +- 0.38   0.92 +- 0.29   2.25 +- 0.37   1.00 +- 0.17
   600  12   4.08 +- 0.47   0.42 +- 0.19   3.00 +- 0.30   1.33 +- 0.28
   681  12   3.92 +- 0.48   1.08 +- 0.56   2.67 +- 0.40   1.75 +- 0.52
   762  12   3.67 +- 0.38   0.50 +- 0.29   2.58 +- 0.29   1.75 +- 0.43
   800  12   4.00 +- 0.33   0.50 +- 0.19   2.50 +- 0.36   0.83 +- 0.24
   881  12   4.58 +- 0.23   0.83 +- 0.24   2.08 +- 0.47   1.58 +- 0.31
   962  12   2.83 +- 0.34   1.25 +- 0.43   1.75 +- 0.28   0.67 +- 0.22
  1000  12   2.58 +- 0.31   1.00 +- 0.35   2.25 +- 0.45   1.00 +- 0.28
  1081  12   4.17 +- 0.32   0.42 +- 0.19   1.92 +- 0.26   0.75 +- 0.25
  1151  12   3.67 +- 0.47   1.08 +- 0.36   2.83 +- 0.39   1.67 +- 0.43
  1200  12   2.92 +- 0.15   0.83 +- 0.30   2.42 +- 0.36   1.92 +- 0.43
  1281  12   3.67 +- 0.31   1.17 +- 0.34   2.33 +- 0.36   1.83 +- 0.34
  1680  12   2.92 +- 0.43   0.92 +- 0.29   1.17 +- 0.24   1.17 +- 0.30
