  step  handback   self  costar  invented
   200         4      0       1         0
   279         5      0       1         0
   360         3      1       1         0
   400         2      1       3         2
   481         6      0       1         0
   562         5      1       3         0
   600         5      0       3         2
   681         5      0       4         1
   762         5      0       3         2
   800         4      1       4         0
   881         5      2       1         1
   962         4      0       1         1
  1000         4      4       2         1
  1081         3      2       3         0
  1151         3      1       4         1
  1200         3      2       1         1
  1281         3      0       4         3
  1680         5      0       1         1
